apim-openai-dev-swc.unique.azure-api.net
apim-openai-dev-swc.unique.configuration.azure-api.net
apim-openai-dev-swc.unique.data.azure-api.net
apim-openai-dev-swc.unique.developer.azure-api.net
apim-openai-dev-swc.unique.management.azure-api.net
apim-openai-dev-swc.unique.portal.azure-api.net
apim-openai-dev-swc.unique.scm.azure-api.net
apim-openai-devops-eastus-01.regional.azure-api.net
apim-openai-devops-eastus-01.unique.regional.azure-api.net
apim-openai-devops.azure-api.net
apim-openai-devops.configuration.azure-api.net
apim-openai-devops.data.azure-api.net
apim-openai-devops.developer.azure-api.net
apim-openai-devops.management.azure-api.net
apim-openai-devops.portal-editor.azure-api.net
apim-openai-devops.portal.azure-api.net
apim-openai-devops.scm.azure-api.net
apim-openai-devops.unique.azure-api.net
apim-openai-devops.unique.configuration.azure-api.net
apim-openai-devops.unique.data.azure-api.net
apim-openai-devops.unique.developer.azure-api.net
apim-openai-devops.unique.management.azure-api.net
apim-openai-devops.unique.portal.azure-api.net
apim-openai-devops.unique.scm.azure-api.net
apim-openai-dialoq-uaenorth-01.regional.azure-api.net
apim-openai-dialoq-uaenorth-01.unique.regional.azure-api.net
apim-openai-dialoq.azure-api.net
apim-openai-dialoq.configuration.azure-api.net
apim-openai-dialoq.data.azure-api.net
apim-openai-dialoq.developer.azure-api.net
apim-openai-dialoq.management.azure-api.net
apim-openai-dialoq.portal-editor.azure-api.net
apim-openai-dialoq.portal.azure-api.net
apim-openai-dialoq.scm.azure-api.net
apim-openai-dialoq.unique.azure-api.net
apim-openai-dialoq.unique.configuration.azure-api.net
apim-openai-dialoq.unique.data.azure-api.net
apim-openai-dialoq.unique.developer.azure-api.net
apim-openai-dialoq.unique.management.azure-api.net
apim-openai-dialoq.unique.portal.azure-api.net
apim-openai-dialoq.unique.scm.azure-api.net
apim-openai-docs-centralus-01.regional.azure-api.net
apim-openai-docs-centralus-01.unique.regional.azure-api.net
apim-openai-docs.azure-api.net
apim-openai-docs.configuration.azure-api.net
apim-openai-docs.data.azure-api.net
apim-openai-docs.developer.azure-api.net
apim-openai-docs.management.azure-api.net
apim-openai-docs.portal-editor.azure-api.net
apim-openai-docs.portal.azure-api.net
apim-openai-docs.scm.azure-api.net
apim-openai-docs.unique.azure-api.net
apim-openai-docs.unique.configuration.azure-api.net
apim-openai-docs.unique.data.azure-api.net
apim-openai-docs.unique.developer.azure-api.net
apim-openai-docs.unique.management.azure-api.net
apim-openai-docs.unique.portal.azure-api.net
apim-openai-docs.unique.scm.azure-api.net
apim-openai-duc-dev-japan-east-1-japaneast-01.regional.azure-api.net
apim-openai-duc-dev-japan-east-1-japaneast-01.unique.regional.azure-api.net
apim-openai-duc-dev-japan-east-1-ta0xuwyulp-je-01.regional.azure-api.net
apim-openai-duc-dev-japan-east-1-ta0xuwyulp-je-01.unique.regional.azure-api.net
apim-openai-duc-dev-japan-east-1-ta0xuwyulp.azure-api.net
apim-openai-duc-dev-japan-east-1-ta0xuwyulp.configuration.azure-api.net
apim-openai-duc-dev-japan-east-1-ta0xuwyulp.data.azure-api.net
apim-openai-duc-dev-japan-east-1-ta0xuwyulp.developer.azure-api.net
apim-openai-duc-dev-japan-east-1-ta0xuwyulp.management.azure-api.net
apim-openai-duc-dev-japan-east-1-ta0xuwyulp.portal-editor.azure-api.net
apim-openai-duc-dev-japan-east-1-ta0xuwyulp.portal.azure-api.net
apim-openai-duc-dev-japan-east-1-ta0xuwyulp.scm.azure-api.net
apim-openai-duc-dev-japan-east-1-ta0xuwyulp.unique.azure-api.net
apim-openai-duc-dev-japan-east-1-ta0xuwyulp.unique.configuration.azure-api.net
apim-openai-duc-dev-japan-east-1-ta0xuwyulp.unique.data.azure-api.net
apim-openai-duc-dev-japan-east-1-ta0xuwyulp.unique.developer.azure-api.net
apim-openai-duc-dev-japan-east-1-ta0xuwyulp.unique.management.azure-api.net
apim-openai-duc-dev-japan-east-1-ta0xuwyulp.unique.portal.azure-api.net
apim-openai-duc-dev-japan-east-1-ta0xuwyulp.unique.scm.azure-api.net
apim-openai-duc-dev-japan-east-1.azure-api.net
apim-openai-duc-dev-japan-east-1.configuration.azure-api.net
apim-openai-duc-dev-japan-east-1.data.azure-api.net
apim-openai-duc-dev-japan-east-1.developer.azure-api.net
apim-openai-duc-dev-japan-east-1.management.azure-api.net
apim-openai-duc-dev-japan-east-1.portal-editor.azure-api.net
apim-openai-duc-dev-japan-east-1.portal.azure-api.net
apim-openai-duc-dev-japan-east-1.scm.azure-api.net
apim-openai-duc-dev-japan-east-1.unique.azure-api.net
apim-openai-duc-dev-japan-east-1.unique.configuration.azure-api.net
apim-openai-duc-dev-japan-east-1.unique.data.azure-api.net
apim-openai-duc-dev-japan-east-1.unique.developer.azure-api.net
apim-openai-duc-dev-japan-east-1.unique.management.azure-api.net
apim-openai-duc-dev-japan-east-1.unique.portal.azure-api.net
apim-openai-duc-dev-japan-east-1.unique.scm.azure-api.net
apim-openai-duc-prd-japan-east-1-ads1j2rpym-je-01.regional.azure-api.net
apim-openai-duc-prd-japan-east-1-ads1j2rpym-je-01.unique.regional.azure-api.net
apim-openai-duc-prd-japan-east-1-ads1j2rpym.azure-api.net
apim-openai-duc-prd-japan-east-1-ads1j2rpym.configuration.azure-api.net
apim-openai-duc-prd-japan-east-1-ads1j2rpym.data.azure-api.net
apim-openai-duc-prd-japan-east-1-ads1j2rpym.developer.azure-api.net
apim-openai-duc-prd-japan-east-1-ads1j2rpym.management.azure-api.net
apim-openai-duc-prd-japan-east-1-ads1j2rpym.portal-editor.azure-api.net
apim-openai-duc-prd-japan-east-1-ads1j2rpym.portal.azure-api.net
apim-openai-duc-prd-japan-east-1-ads1j2rpym.scm.azure-api.net
apim-openai-duc-prd-japan-east-1-ads1j2rpym.unique.azure-api.net
apim-openai-duc-prd-japan-east-1-ads1j2rpym.unique.configuration.azure-api.net
apim-openai-duc-prd-japan-east-1-ads1j2rpym.unique.data.azure-api.net
apim-openai-duc-prd-japan-east-1-ads1j2rpym.unique.developer.azure-api.net
apim-openai-duc-prd-japan-east-1-ads1j2rpym.unique.management.azure-api.net
apim-openai-duc-prd-japan-east-1-ads1j2rpym.unique.portal.azure-api.net
apim-openai-duc-prd-japan-east-1-ads1j2rpym.unique.scm.azure-api.net
apim-openai-dy2s6kitk7t3i-japaneast-01.regional.azure-api.net
apim-openai-dy2s6kitk7t3i-japaneast-01.unique.regional.azure-api.net
apim-openai-dy2s6kitk7t3i.azure-api.net
apim-openai-dy2s6kitk7t3i.configuration.azure-api.net
apim-openai-dy2s6kitk7t3i.data.azure-api.net
apim-openai-dy2s6kitk7t3i.developer.azure-api.net
apim-openai-dy2s6kitk7t3i.management.azure-api.net
apim-openai-dy2s6kitk7t3i.portal-editor.azure-api.net
apim-openai-dy2s6kitk7t3i.portal.azure-api.net
apim-openai-dy2s6kitk7t3i.scm.azure-api.net
apim-openai-dy2s6kitk7t3i.unique.azure-api.net
apim-openai-dy2s6kitk7t3i.unique.configuration.azure-api.net
apim-openai-dy2s6kitk7t3i.unique.data.azure-api.net
apim-openai-dy2s6kitk7t3i.unique.developer.azure-api.net
apim-openai-dy2s6kitk7t3i.unique.management.azure-api.net
apim-openai-dy2s6kitk7t3i.unique.portal.azure-api.net
apim-openai-dy2s6kitk7t3i.unique.scm.azure-api.net
apim-openai-eastus-01.regional.azure-api.net
apim-openai-eastus-01.unique.regional.azure-api.net
apim-openai-eastus-100-eastus-01.regional.azure-api.net
apim-openai-eastus-100-eastus-01.unique.regional.azure-api.net
apim-openai-eastus-100.azure-api.net
apim-openai-eastus-100.configuration.azure-api.net
apim-openai-eastus-100.data.azure-api.net
apim-openai-eastus-100.developer.azure-api.net
apim-openai-eastus-100.management.azure-api.net
apim-openai-eastus-100.portal-editor.azure-api.net
apim-openai-eastus-100.portal.azure-api.net
apim-openai-eastus-100.scm.azure-api.net
apim-openai-eastus-100.unique.azure-api.net
