openai-apim.management.azure-api.net
openai-apim.portal-editor.azure-api.net
openai-apim.portal.azure-api.net
openai-apim.scm.azure-api.net
openai-apim.unique.azure-api.net
openai-apim.unique.configuration.azure-api.net
openai-apim.unique.data.azure-api.net
openai-apim.unique.developer.azure-api.net
openai-apim.unique.management.azure-api.net
openai-apim.unique.portal.azure-api.net
openai-apim.unique.scm.azure-api.net
openai-apim010-australiaeast-01.regional.azure-api.net
openai-apim010-australiaeast-01.unique.regional.azure-api.net
openai-apim010.azure-api.net
openai-apim010.configuration.az.api.woodside
openai-apim010.configuration.azure-api.net
openai-apim010.data.azure-api.net
openai-apim010.developer.az.api.woodside
openai-apim010.developer.azure-api.net
openai-apim010.gateway.az.api.woodside
openai-apim010.management.az.api.woodside
openai-apim010.management.azure-api.net
openai-apim010.portal-editor.azure-api.net
openai-apim010.portal.azure-api.net
openai-apim010.scm.az.api.woodside
openai-apim010.scm.azure-api.net
openai-apim010.unique.azure-api.net
openai-apim010.unique.configuration.azure-api.net
openai-apim010.unique.data.azure-api.net
openai-apim010.unique.developer.azure-api.net
openai-apim010.unique.management.azure-api.net
openai-apim010.unique.portal.azure-api.net
openai-apim010.unique.scm.azure-api.net
openai-apim131313-germanywestcentral-01.regional.azure-api.net
openai-apim131313-germanywestcentral-01.unique.regional.azure-api.net
openai-apim131313.azure-api.net
openai-apim131313.configuration.azure-api.net
openai-apim131313.data.azure-api.net
openai-apim131313.developer.azure-api.net
openai-apim131313.management.azure-api.net
openai-apim131313.portal-editor.azure-api.net
openai-apim131313.portal.azure-api.net
openai-apim131313.scm.azure-api.net
openai-apim131313.unique.azure-api.net
openai-apim131313.unique.configuration.azure-api.net
openai-apim131313.unique.data.azure-api.net
openai-apim131313.unique.developer.azure-api.net
openai-apim131313.unique.management.azure-api.net
openai-apim131313.unique.portal.azure-api.net
openai-apim131313.unique.scm.azure-api.net
openai-apim21-eastus-01.regional.azure-api.net
openai-apim21-eastus-01.unique.regional.azure-api.net
openai-apim21.azure-api.net
openai-apim21.configuration.azure-api.net
openai-apim21.data.azure-api.net
openai-apim21.developer.azure-api.net
openai-apim21.management.azure-api.net
openai-apim21.portal-editor.azure-api.net
openai-apim21.portal.azure-api.net
openai-apim21.scm.azure-api.net
openai-apim21.unique.azure-api.net
openai-apim21.unique.configuration.azure-api.net
openai-apim21.unique.data.azure-api.net
openai-apim21.unique.developer.azure-api.net
openai-apim21.unique.management.azure-api.net
openai-apim21.unique.portal.azure-api.net
openai-apim21.unique.scm.azure-api.net
openai-apimgr-eastus-01.regional.azure-api.net
openai-apimgr-eastus-01.unique.regional.azure-api.net
openai-apimgr.azure-api.net
openai-apimgr.configuration.azure-api.net
openai-apimgr.data.azure-api.net
openai-apimgr.developer.azure-api.net
openai-apimgr.management.azure-api.net
openai-apimgr.portal-editor.azure-api.net
openai-apimgr.portal.azure-api.net
openai-apimgr.scm.azure-api.net
openai-apimgr.unique.azure-api.net
openai-apimgr.unique.configuration.azure-api.net
openai-apimgr.unique.data.azure-api.net
openai-apimgr.unique.developer.azure-api.net
openai-apimgr.unique.management.azure-api.net
openai-apimgr.unique.portal.azure-api.net
openai-apimgr.unique.scm.azure-api.net
openai-apims-azureai-ml-eastus2-01.regional.azure-api.net
openai-apims-azureai-ml-eastus2-01.unique.regional.azure-api.net
openai-apims-azureai-ml.azure-api.net
